,feature,value,model,dataset
5465,ENSG00000134313,0.42658942587839305,cBoost,Intersection
5791,ENSG00000136527,0.4192757577899261,cBoost,Intersection
11321,ENSG00000183035,0.4022233584623279,cBoost,Intersection
12455,ENSG00000198435,0.36140638627549593,cBoost,Intersection
3817,ENSG00000117226,0.34174179795751986,cBoost,Intersection
3211,ENSG00000111817,0.32283076397340454,cBoost,Intersection
9450,ENSG00000167874,0.2987231464802703,cBoost,Intersection
11924,ENSG00000188064,0.2759430198064105,cBoost,Intersection
2995,ENSG00000109689,0.24614046697924366,cBoost,Intersection
3132,ENSG00000111261,0.23049870377768833,cBoost,Intersection
8685,ENSG00000163873,0.1881039724515704,cBoost,Intersection
7322,ENSG00000150625,0.17696251800138113,cBoost,Intersection
8774,ENSG00000164168,0.17607019734854437,cBoost,Intersection
9217,ENSG00000166501,0.1686504255883656,cBoost,Intersection
10982,ENSG00000179593,0.14623853069213974,cBoost,Intersection
9785,ENSG00000169876,0.1319645124415853,cBoost,Intersection
4151,ENSG00000120937,0.12105717414660994,cBoost,Intersection
2651,ENSG00000106144,0.057172836848301115,cBoost,Intersection
2,GLEASON_SCORE,70.59015318438475,cBoost,pData
0,TISSUE,18.63595949715583,cBoost,pData
3,PRE_OPERATIVE_PSA,8.195472314237046,cBoost,pData
1,AGE,2.5784150042224017,cBoost,pData
1057,ENSG00000074181,4.316494156968631,cBoost,pData_Intersection
2,GLEASON_SCORE,3.620034500695997,cBoost,pData_Intersection
6958,ENSG00000146205,2.3745544545252635,cBoost,pData_Intersection
3356,ENSG00000112984,2.0236735486972197,cBoost,pData_Intersection
