"","feature","value","dataset","model_class"
"400","ENSG00000135124",1.27417751840664e-05,"Intersection","RSF"
"401","ENSG00000135318",0.000267577278866393,"Intersection","RSF"
"402","ENSG00000135333",0.000501176490575239,"Intersection","RSF"
"403","ENSG00000135506",0.000637088759205873,"Intersection","RSF"
"404","ENSG00000135622",5.94616175257912e-05,"Intersection","RSF"
"405","ENSG00000135829",0.000233599211708846,"Intersection","RSF"
"406","ENSG00000135953",0.000199621144551188,"Intersection","RSF"
"407","ENSG00000136014",0.000462951165022929,"Intersection","RSF"
"408","ENSG00000136100",4.24725839465179e-06,"Intersection","RSF"
"409","ENSG00000136161",3.39780671575474e-05,"Intersection","RSF"
"410","ENSG00000136404",0.000615852467232392,"Intersection","RSF"
"411","ENSG00000136451",0.000106181459867627,"Intersection","RSF"
"412","ENSG00000136636",0.000135912268630523,"Intersection","RSF"
"413","ENSG00000136643",6.3708875920554e-05,"Intersection","RSF"
"414","ENSG00000136819",3.82253255523102e-05,"Intersection","RSF"
"415","ENSG00000136842",2.54835503682438e-05,"Intersection","RSF"
"416","ENSG00000136874",0.000271824537261156,"Intersection","RSF"
"417","ENSG00000136877",2.1236291973481e-05,"Intersection","RSF"
"418","ENSG00000136940",6.79561343152058e-05,"Intersection","RSF"
"419","ENSG00000136950",9.34396846834495e-05,"Intersection","RSF"
"420","ENSG00000136960",0.00104482556509766,"Intersection","RSF"
"421","ENSG00000137077",0.000140159527025285,"Intersection","RSF"
"422","ENSG00000137145",5.94616175257912e-05,"Intersection","RSF"
